disAcodeNum	disAcode	disAname	disBcodeNum	disBcode	disBname	patTotal	patWdisA	patWdisB	patWdisAB	patWdisAnotB	patWdisBnotA	patWOdisAB	relativeRiskIndex	phiIndex	oddsRatioIndex	oddsRatio95CI_upper	oddsRatio95CI_lower	fisherTest	fisherTestAdjusted	expect	score	femaleWithDisA	femaleWithDisB	femaleWithDisAandB	maleWithDisA	maleWithDisB	maleWithDisAandB	sexRatioBA	sexRatioAB
73	484.8	Pneumonia in other infectious diseases classified elsewhere	66	715.14	Osteoarthrosis, localized, primary, hand	1095	7	28	0	7	28	1060	0.00000	-0.01299	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.17900	-0.23756	3	19	0	4	9	0	0.00000	0.00000
72	309.81	Posttraumatic stress disorder	66	715.14	Osteoarthrosis, localized, primary, hand	1095	4	28	0	4	28	1063	0.00000	-0.00981	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.10228	-0.14049	1	19	0	3	9	0	0.00000	0.00000
71	633.1	Tubal pregnancy without intrauterine pregnancy	66	715.14	Osteoarthrosis, localized, primary, hand	1095	23	28	1	22	27	1045	1.70031	0.01662	1.75926	13.53121	0.22873	0.4522447128	1.0000000000	0.58813	0.33267	23	19	1	0	9	0	2.99573	3.17805
69	427.31	Atrial fibrillation	66	715.14	Osteoarthrosis, localized, primary, hand	1095	35	28	0	35	28	1032	0.00000	-0.02944	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.89498	-0.92218	9	19	0	26	9	0	0.00000	0.00000
67	153.8	Malignant neoplasm of other specified sites of large intestine	66	715.14	Osteoarthrosis, localized, primary, hand	1095	14	28	2	12	26	1055	5.58673	0.08456	6.76282	31.75750	1.44016	0.0474740768	1.0000000000	0.35799	1.14349	9	19	1	5	9	1	0.69315	0.51083
65	244.9	Unspecified acquired hypothyroidism	66	715.14	Osteoarthrosis, localized, primary, hand	1095	13	28	2	11	26	1056	6.01648	0.08907	7.38462	35.00413	1.55789	0.0413375703	1.0000000000	0.33242	1.17091	11	19	2	2	9	0	2.35138	1.87180
64	331	Alzheimer's disease	66	715.14	Osteoarthrosis, localized, primary, hand	1095	23	28	2	21	26	1046	3.40062	0.05696	3.83150	17.20070	0.85348	0.1146806889	1.0000000000	0.58813	0.91764	15	19	2	8	9	0	2.35138	2.14007
63	836.2	Other tear of cartilage or meniscus of knee, current	66	715.14	Osteoarthrosis, localized, primary, hand	1095	20	28	1	19	27	1048	1.95536	0.02111	2.04288	15.81901	0.26382	0.4070686830	1.0000000000	0.51142	0.40410	10	19	1	10	9	0	2.99573	2.39790
62	590.8	Pyelonephritis, unspecified	66	715.14	Osteoarthrosis, localized, primary, hand	1095	1	28	0	1	28	1066	0.00000	-0.00490	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.02557	-0.03643	1	19	0	0	9	0	0.00000	0.00000
58	V12.59	Personal history of other diseases of circulatory system	66	715.14	Osteoarthrosis, localized, primary, hand	1095	31	28	0	31	28	1036	0.00000	-0.02765	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.79269	-0.84213	2	19	0	29	9	0	0.00000	0.00000
57	692.9	Contact dermatitis and other eczema, unspecified cause	66	715.14	Osteoarthrosis, localized, primary, hand	1095	18	28	0	18	28	1049	0.00000	-0.02094	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.46027	-0.54624	9	19	0	9	9	0	0.00000	0.00000
56	692.89	Contact dermatitis and other eczema due to other specified agents	66	715.14	Osteoarthrosis, localized, primary, hand	1095	18	28	0	18	28	1049	0.00000	-0.02094	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.46027	-0.54624	9	19	0	9	9	0	0.00000	0.00000
55	691.8	Other atopic dermatitis and related conditions	66	715.14	Osteoarthrosis, localized, primary, hand	1095	20	28	0	20	28	1047	0.00000	-0.02210	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.51142	-0.59590	13	19	0	7	9	0	0.00000	0.00000
54	296.2	Major depressive affective disorder, single episode, unspecified	66	715.14	Osteoarthrosis, localized, primary, hand	1095	6	28	0	6	28	1061	0.00000	-0.01202	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.15342	-0.20592	3	19	0	3	9	0	0.00000	0.00000
53	585.3	Chronic kidney disease, Stage III (moderate)	66	715.14	Osteoarthrosis, localized, primary, hand	1095	3	28	0	3	28	1064	0.00000	-0.00849	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.07671	-0.10663	1	19	0	2	9	0	0.00000	0.00000
52	239.5	Neoplasm of unspecified nature of other genitourinary organs	66	715.14	Osteoarthrosis, localized, primary, hand	1095	24	28	1	23	27	1044	1.62946	0.01526	1.68116	12.90648	0.21898	0.4665517539	1.0000000000	0.61370	0.30963	0	19	0	24	9	1	-2.30259	-3.21888
51	233.4	Carcinoma in situ of prostate	66	715.14	Osteoarthrosis, localized, primary, hand	1095	23	28	1	22	27	1045	1.70031	0.01662	1.75926	13.53121	0.22873	0.4522447128	1.0000000000	0.58813	0.33267	0	19	0	23	9	1	-2.30259	-3.17805
50	585.2	Chronic kidney disease, Stage II (mild)	66	715.14	Osteoarthrosis, localized, primary, hand	1095	5	28	0	5	28	1062	0.00000	-0.01097	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.12785	-0.17358	3	19	0	2	9	0	0.00000	0.00000
49	585.1	Chronic kidney disease, Stage I	66	715.14	Osteoarthrosis, localized, primary, hand	1095	28	28	3	25	25	1042	4.19005	0.08371	5.00160	17.66000	1.41654	0.0319796229	1.0000000000	0.71598	1.22097	10	19	1	18	9	2	1.29098	0.09531
48	583.81	Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere	66	715.14	Osteoarthrosis, localized, primary, hand	1095	28	28	3	25	25	1042	4.19005	0.08371	5.00160	17.66000	1.41654	0.0319796229	1.0000000000	0.71598	1.22097	10	19	1	18	9	2	1.29098	0.09531
47	250.4	Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled	66	715.14	Osteoarthrosis, localized, primary, hand	1095	28	28	3	25	25	1042	4.19005	0.08371	5.00160	17.66000	1.41654	0.0319796229	1.0000000000	0.71598	1.22097	10	19	1	18	9	2	1.29098	0.09531
46	892	Open wound of foot except toe(s) alone, without mention of complication	66	715.14	Osteoarthrosis, localized, primary, hand	1095	118	28	5	113	23	954	1.65708	0.03699	1.83532	4.92241	0.68430	0.2146455887	1.0000000000	3.01735	0.57872	53	19	3	65	9	2	0.28768	-0.58481
44	733.09	Other osteoporosis	66	715.14	Osteoarthrosis, localized, primary, hand	1095	37	28	3	34	25	1033	3.17085	0.06576	3.64588	12.66611	1.04945	0.0650641990	1.0000000000	0.94612	1.03940	24	19	3	13	9	0	1.99243	2.19722
43	733	Osteoporosis, unspecified	66	715.14	Osteoarthrosis, localized, primary, hand	1095	37	28	3	34	25	1033	3.17085	0.06576	3.64588	12.66611	1.04945	0.0650641990	1.0000000000	0.94612	1.03940	24	19	3	13	9	0	1.99243	2.19722
42	492.8	Other emphysema	66	715.14	Osteoarthrosis, localized, primary, hand	1095	17	28	1	16	27	1051	2.30042	0.02645	2.43287	19.01367	0.31129	0.3583103201	1.0000000000	0.43470	0.47925	9	19	0	8	9	1	-2.30259	-2.19722
41	959.7	Knee, leg, ankle, and foot injury	66	715.14	Osteoarthrosis, localized, primary, hand	1095	51	28	2	49	26	1018	1.53361	0.01911	1.59812	6.92637	0.36873	0.3783803585	1.0000000000	1.30411	0.38075	27	19	1	24	9	1	0.69315	0.11333
40	595.9	Cystitis, unspecified	66	715.14	Osteoarthrosis, localized, primary, hand	1095	71	28	2	69	26	998	1.10161	0.00433	1.11260	4.78490	0.25870	0.7021853127	1.0000000000	1.81553	0.09156	68	19	2	3	9	0	2.35138	3.55535
39	595.89	Other specified types of cystitis	66	715.14	Osteoarthrosis, localized, primary, hand	1095	71	28	2	69	26	998	1.10161	0.00433	1.11260	4.78490	0.25870	0.7021853127	1.0000000000	1.81553	0.09156	68	19	2	3	9	0	2.35138	3.55535
37	642.44	Mild or unspecified pre-eclampsia, postpartum condition or complication	66	715.14	Osteoarthrosis, localized, primary, hand	1095	101	28	7	94	21	973	2.71040	0.08832	3.45035	8.32849	1.42942	0.0107562715	1.0000000000	2.58265	1.15897	101	19	7	0	9	0	1.31219	2.73622
36	642.43	Mild or unspecified pre-eclampsia, antepartum condition or complication	66	715.14	Osteoarthrosis, localized, primary, hand	1095	101	28	7	94	21	973	2.71040	0.08832	3.45035	8.32849	1.42942	0.0107562715	1.0000000000	2.58265	1.15897	101	19	7	0	9	0	1.31219	2.73622
35	642.42	Mild or unspecified pre-eclampsia, delivered, with mention of postpartum complication	66	715.14	Osteoarthrosis, localized, primary, hand	1095	101	28	7	94	21	973	2.71040	0.08832	3.45035	8.32849	1.42942	0.0107562715	1.0000000000	2.58265	1.15897	101	19	7	0	9	0	1.31219	2.73622
34	642.41	Mild or unspecified pre-eclampsia, delivered, with or without mention of antepartum condition	66	715.14	Osteoarthrosis, localized, primary, hand	1095	101	28	7	94	21	973	2.71040	0.08832	3.45035	8.32849	1.42942	0.0107562715	1.0000000000	2.58265	1.15897	101	19	7	0	9	0	1.31219	2.73622
33	642.4	Mild or unspecified pre-eclampsia, unspecified as to episode of care or not applicable	66	715.14	Osteoarthrosis, localized, primary, hand	1095	101	28	7	94	21	973	2.71040	0.08832	3.45035	8.32849	1.42942	0.0107562715	1.0000000000	2.58265	1.15897	101	19	7	0	9	0	1.31219	2.73622
31	338.29	Other chronic pain	66	715.14	Osteoarthrosis, localized, primary, hand	1095	52	28	1	51	27	1016	0.75206	-0.00897	0.73784	5.53791	0.09830	1.0000000000	1.0000000000	1.32968	-0.22013	24	19	1	28	9	0	2.99573	3.21888
30	346.71	Chronic migraine without aura, with intractable migraine, so stated, without mention of status migrainosus	66	715.14	Osteoarthrosis, localized, primary, hand	1095	51	28	1	50	27	1017	0.76681	-0.00835	0.75333	5.65634	0.10033	1.0000000000	1.0000000000	1.30411	-0.20421	21	19	1	30	9	0	2.99573	3.09104
29	V45.79	Other acquired absence of organ	66	715.14	Osteoarthrosis, localized, primary, hand	1095	51	28	3	48	25	1019	2.30042	0.04656	2.54750	8.73347	0.74309	0.1376504409	1.0000000000	1.30411	0.79579	27	19	2	24	9	1	0.04879	-0.54473
28	542	Other appendicitis	66	715.14	Osteoarthrosis, localized, primary, hand	1095	51	28	3	48	25	1019	2.30042	0.04656	2.54750	8.73347	0.74309	0.1376504409	1.0000000000	1.30411	0.79579	27	19	2	24	9	1	0.04879	-0.54473
27	541	Appendicitis, unqualified	66	715.14	Osteoarthrosis, localized, primary, hand	1095	51	28	3	48	25	1019	2.30042	0.04656	2.54750	8.73347	0.74309	0.1376504409	1.0000000000	1.30411	0.79579	27	19	2	24	9	1	0.04879	-0.54473
26	272.4	Other and unspecified hyperlipidemia	66	715.14	Osteoarthrosis, localized, primary, hand	1095	119	28	6	113	22	954	1.97179	0.05497	2.30249	5.79797	0.91437	0.1121072728	1.0000000000	3.04292	0.79196	64	19	5	55	9	1	-0.73397	-1.40068
25	434.91	Cerebral artery occlusion, unspecified with cerebral infarction	66	715.14	Osteoarthrosis, localized, primary, hand	1095	62	28	4	58	24	1009	2.52304	0.06044	2.89943	8.63305	0.97378	0.0686236911	1.0000000000	1.58539	0.95155	32	19	3	30	9	1	-0.31015	-0.97725
24	382.9	Unspecified otitis media	66	715.14	Osteoarthrosis, localized, primary, hand	1095	580	28	9	571	19	496	0.60683	-0.06759	0.41147	0.91773	0.18448	0.0335166157	1.0000000000	14.83105	-0.66276	277	19	6	303	9	3	0.04082	-0.77129
23	631	Other abnormal product of conception	66	715.14	Osteoarthrosis, localized, primary, hand	1095	53	28	7	46	21	1021	5.16509	0.15217	7.39855	18.28827	2.99310	0.0002247947	0.0371899606	1.35525	1.76412	53	19	7	0	9	0	1.31219	2.14843
22	642.63	Eclampsia, antepartum condition or complication	66	715.14	Osteoarthrosis, localized, primary, hand	1095	96	28	6	90	22	977	2.44420	0.07252	2.96061	7.48985	1.17028	0.0298933149	1.0000000000	2.45479	1.01876	96	19	6	0	9	0	1.42712	2.83321
21	642.6	Eclampsia, unspecified as to episode of care or not applicable	66	715.14	Osteoarthrosis, localized, primary, hand	1095	96	28	6	90	22	977	2.44420	0.07252	2.96061	7.48985	1.17028	0.0298933149	1.0000000000	2.45479	1.01876	96	19	6	0	9	0	1.42712	2.83321
20	726.1	Disorders of bursae and tendons in shoulder region, unspecified	66	715.14	Osteoarthrosis, localized, primary, hand	1095	51	28	3	48	25	1019	2.30042	0.04656	2.54750	8.73347	0.74309	0.1376504409	1.0000000000	1.30411	0.79579	26	19	1	25	9	2	1.29098	0.69315
19	637.92	Unspecified abortion, without mention of complication, complete	66	715.14	Osteoarthrosis, localized, primary, hand	1095	125	28	13	112	15	955	4.06714	0.17836	7.38988	15.92949	3.42825	0.0000025804	0.0005873765	3.19635	1.73822	125	19	13	0	9	0	0.90079	2.36230
18	634.92	Spontaneous abortion, without mention of complication, complete	66	715.14	Osteoarthrosis, localized, primary, hand	1095	125	28	13	112	15	955	4.06714	0.17836	7.38988	15.92949	3.42825	0.0000025804	0.0005873765	3.19635	1.73822	125	19	13	0	9	0	0.90079	2.36230
17	995.3	Allergy, unspecified, not elsewhere classified	66	715.14	Osteoarthrosis, localized, primary, hand	1095	47	28	0	47	28	1020	0.00000	-0.03431	0.00000	0.00000	0.00000	0.6285419130	1.0000000000	1.20183	-1.13870	25	19	0	22	9	0	0.00000	0.00000
16	345.9	Epilepsy, unspecified, without mention of intractable epilepsy	66	715.14	Osteoarthrosis, localized, primary, hand	1095	30	28	1	29	27	1038	1.30357	0.00825	1.32567	10.09131	0.17415	0.5451193548	1.0000000000	0.76712	0.17860	13	19	1	17	9	0	2.99573	2.63906
15	345.8	Other forms of epilepsy and recurrent seizures, without mention of intractable epilepsy	66	715.14	Osteoarthrosis, localized, primary, hand	1095	30	28	1	29	27	1038	1.30357	0.00825	1.32567	10.09131	0.17415	0.5451193548	1.0000000000	0.76712	0.17860	13	19	1	17	9	0	2.99573	2.63906
14	V85.30	Body Mass Index 30.0-30.9, adult	66	715.14	Osteoarthrosis, localized, primary, hand	1095	439	28	19	420	9	647	1.69256	0.09178	3.25212	7.25624	1.45754	0.0030635971	0.3682725001	11.22557	0.71010	226	19	14	213	9	5	-0.17217	-0.93348
13	V22.2	Pregnant state, incidental	66	715.14	Osteoarthrosis, localized, primary, hand	1095	384	28	19	365	9	702	1.93499	0.11131	4.06027	9.06458	1.81871	0.0004301580	0.0663752454	9.81918	0.88641	384	19	19	0	9	0	0.69315	3.05450
12	34	Streptococcal sore throat	66	715.14	Osteoarthrosis, localized, primary, hand	1095	523	28	15	508	13	559	1.12162	0.01884	1.26969	2.69425	0.59835	0.5696390275	1.0000000000	13.37352	0.15466	246	19	11	277	9	4	-0.17535	-1.10088
11	473.9	Unspecified sinusitis (chronic)	66	715.14	Osteoarthrosis, localized, primary, hand	1095	216	28	12	204	16	863	2.17262	0.09416	3.17279	6.81061	1.47808	0.0058801089	0.6187667462	5.52329	0.99484	104	19	9	112	9	3	-0.25131	-1.11616
10	473.8	Other chronic sinusitis	66	715.14	Osteoarthrosis, localized, primary, hand	1095	216	28	12	204	16	863	2.17262	0.09416	3.17279	6.81061	1.47808	0.0058801089	0.6187667462	5.52329	0.99484	104	19	9	112	9	3	-0.25131	-1.11616
9	842.09	Other sprains and strains of wrist	66	715.14	Osteoarthrosis, localized, primary, hand	1095	195	28	3	192	25	875	0.60165	-0.03004	0.54687	1.82973	0.16345	0.4539241673	1.0000000000	4.98630	-0.58166	90	19	2	105	9	1	0.04879	-0.83480
8	842	Sprain of wrist, unspecified site	66	715.14	Osteoarthrosis, localized, primary, hand	1095	195	28	3	192	25	875	0.60165	-0.03004	0.54687	1.82973	0.16345	0.4539241673	1.0000000000	4.98630	-0.58166	90	19	2	105	9	1	0.04879	-0.83480
6	461.8	Other acute sinusitis	66	715.14	Osteoarthrosis, localized, primary, hand	1095	187	28	8	179	20	888	1.67303	0.04948	1.98436	4.57582	0.86054	0.1227696876	1.0000000000	4.78174	0.63842	89	19	5	98	9	3	0.18232	-0.58265
5	845.09	Other sprains and strains of ankle	66	715.14	Osteoarthrosis, localized, primary, hand	1095	362	28	7	355	21	712	0.75622	-0.02775	0.66854	1.58752	0.28154	0.4207580749	1.0000000000	9.25662	-0.35848	185	19	7	177	9	0	1.31219	3.31159
4	845	Sprain of ankle, unspecified site	66	715.14	Osteoarthrosis, localized, primary, hand	1095	362	28	7	355	21	712	0.75622	-0.02775	0.66854	1.58752	0.28154	0.4207580749	1.0000000000	9.25662	-0.35848	185	19	7	177	9	0	1.31219	3.31159
3	277.7	Dysmetabolic syndrome X	66	715.14	Osteoarthrosis, localized, primary, hand	1095	64	28	7	57	21	1010	4.27734	0.13228	5.90643	14.47021	2.41088	0.0007473984	0.1061414882	1.63653	1.60136	28	19	4	36	9	3	0.36291	-0.48551
2	850	Concussion with no loss of consciousness	66	715.14	Osteoarthrosis, localized, primary, hand	1095	206	28	8	198	20	869	1.51872	0.04045	1.75556	4.04345	0.76221	0.2165323678	1.0000000000	5.26758	0.52202	96	19	4	110	9	4	0.57054	-0.13103
76	575	Acute cholecystitis	1	466	Acute bronchitis	1095	9	863	7	2	856	230	0.98687	-0.00231	0.94042	4.55747	0.19405	1.0000000000	1.0000000000	7.09315	-0.01670	7	418	6	2	445	1	-1.84234	-0.32542
86	199.1	Other malignant neoplasm without specification of site	61	V12.53	Personal history of sudden cardiac arrest	1095	1	42	0	1	42	1052	0.00000	-0.00604	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.03836	-0.05430	0	24	0	1	18	0	0.00000	0.00000
85	303.9	Other and unspecified alcohol dependence, unspecified	61	V12.53	Personal history of sudden cardiac arrest	1095	5	42	0	5	42	1048	0.00000	-0.01353	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.19178	-0.25312	0	24	0	5	18	0	0.00000	0.00000
84	854	Intracranial injury of other and unspecified nature without mention of open intracranial wound, unspecified state of consciousness	61	V12.53	Personal history of sudden cardiac arrest	1095	4	42	1	3	41	1050	6.51786	0.06673	8.53659	83.84267	0.86917	0.1450083278	1.0000000000	0.15342	0.79408	0	24	0	4	18	1	-2.94444	-1.60944
83	153.9	Malignant neoplasm of colon, unspecified site	61	V12.53	Personal history of sudden cardiac arrest	1095	6	42	0	6	42	1047	0.00000	-0.01482	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.23014	-0.29882	4	24	0	2	18	0	0.00000	0.00000
82	850.9	Concussion, unspecified	61	V12.53	Personal history of sudden cardiac arrest	1095	7	42	1	6	41	1047	3.72449	0.04364	4.25610	36.17001	0.50081	0.2400829148	1.0000000000	0.26849	0.65688	1	24	0	6	18	1	-2.94444	-1.94591
81	800.09	Closed fracture of vault of skull without mention of intracranial injury, with concussion, unspecified	61	V12.53	Personal history of sudden cardiac arrest	1095	7	42	1	6	41	1047	3.72449	0.04364	4.25610	36.17001	0.50081	0.2400829148	1.0000000000	0.26849	0.65688	1	24	0	6	18	1	-2.94444	-1.94591
80	491.2	Obstructive chronic bronchitis without exacerbation	61	V12.53	Personal history of sudden cardiac arrest	1095	6	42	0	6	42	1047	0.00000	-0.01482	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.23014	-0.29882	4	24	0	2	18	0	0.00000	0.00000
79	714	Rheumatoid arthritis	61	V12.53	Personal history of sudden cardiac arrest	1095	3	42	1	2	41	1051	8.69048	0.08050	12.81707	144.23288	1.13897	0.1108086610	1.0000000000	0.11507	0.84287	2	24	1	1	18	0	3.21888	1.09861
78	274.9	Gout, unspecified	61	V12.53	Personal history of sudden cardiac arrest	1095	4	42	0	4	42	1049	0.00000	-0.01209	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.15342	-0.20592	0	24	0	4	18	0	0.00000	0.00000
77	274.89	Gout with other specified manifestations	61	V12.53	Personal history of sudden cardiac arrest	1095	4	42	0	4	42	1049	0.00000	-0.01209	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.15342	-0.20592	0	24	0	4	18	0	0.00000	0.00000
76	575	Acute cholecystitis	61	V12.53	Personal history of sudden cardiac arrest	1095	9	42	0	9	42	1044	0.00000	-0.01818	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.34521	-0.42783	7	24	0	2	18	0	0.00000	0.00000
75	574.2	Calculus of gallbladder without mention of cholecystitis, without mention of obstruction	61	V12.53	Personal history of sudden cardiac arrest	1095	9	42	0	9	42	1044	0.00000	-0.01818	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.34521	-0.42783	7	24	0	2	18	0	0.00000	0.00000
74	486	Pneumonia, organism unspecified	61	V12.53	Personal history of sudden cardiac arrest	1095	7	42	1	6	41	1047	3.72449	0.04364	4.25610	36.17001	0.50081	0.2400829148	1.0000000000	0.26849	0.65688	3	24	0	4	18	1	-2.94444	-1.60944
73	484.8	Pneumonia in other infectious diseases classified elsewhere	61	V12.53	Personal history of sudden cardiac arrest	1095	7	42	1	6	41	1047	3.72449	0.04364	4.25610	36.17001	0.50081	0.2400829148	1.0000000000	0.26849	0.65688	3	24	0	4	18	1	-2.94444	-1.60944
72	309.81	Posttraumatic stress disorder	61	V12.53	Personal history of sudden cardiac arrest	1095	4	42	0	4	42	1049	0.00000	-0.01209	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.15342	-0.20592	1	24	0	3	18	0	0.00000	0.00000
71	633.1	Tubal pregnancy without intrauterine pregnancy	61	V12.53	Personal history of sudden cardiac arrest	1095	23	42	3	20	39	1033	3.40062	0.07023	3.97308	13.93556	1.13274	0.0544727505	1.0000000000	0.88219	1.08759	23	24	3	0	18	0	2.19722	2.15948
70	162.9	Malignant neoplasm of bronchus and lung, unspecified	61	V12.53	Personal history of sudden cardiac arrest	1095	8	42	1	7	41	1046	3.25893	0.03870	3.64460	30.31510	0.43817	0.2694179494	1.0000000000	0.30685	0.61391	0	24	0	8	18	1	-2.94444	-2.19722
69	427.31	Atrial fibrillation	61	V12.53	Personal history of sudden cardiac arrest	1095	35	42	0	35	42	1018	0.00000	-0.03629	0.00000	0.00000	0.00000	0.6410592496	1.0000000000	1.34247	-1.22803	9	24	0	26	18	0	0.00000	0.00000
68	949.3	Full-thickness skin loss [third degree nos]	61	V12.53	Personal history of sudden cardiac arrest	1095	8	42	0	8	42	1045	0.00000	-0.01713	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.30685	-0.38609	3	24	0	5	18	0	0.00000	0.00000
67	153.8	Malignant neoplasm of other specified sites of large intestine	61	V12.53	Personal history of sudden cardiac arrest	1095	14	42	1	13	41	1040	1.86224	0.01960	1.95122	15.27487	0.24925	0.4235684061	1.0000000000	0.53699	0.37990	9	24	1	5	18	0	3.21888	2.30259
66	715.14	Osteoarthrosis, localized, primary, hand	61	V12.53	Personal history of sudden cardiac arrest	1095	28	42	1	27	41	1026	0.93112	-0.00223	0.92683	6.98809	0.12293	1.0000000000	1.0000000000	1.07397	-0.05240	19	24	1	9	18	0	3.21888	2.99573
65	244.9	Unspecified acquired hypothyroidism	61	V12.53	Personal history of sudden cardiac arrest	1095	13	42	1	12	41	1041	2.00549	0.02201	2.11585	16.66293	0.26867	0.4002894379	1.0000000000	0.49863	0.41636	11	24	1	2	18	0	3.21888	2.48491
